Date,VIC_Stringency,NSW_Stringency,VIC_Unemployment,NSW_Unemployment
2016-02-01,0.0,0.0,6.1860829,5.6240913
2016-03-01,0.0,0.0,5.9961019,5.436768
2016-04-01,0.0,0.0,5.6762826,5.1305242
2016-05-01,0.0,0.0,5.6849195,5.0341295
2016-06-01,0.0,0.0,5.3955978,5.0348001
2016-07-01,0.0,0.0,5.7361088,5.0255037
2016-08-01,0.0,0.0,5.6036483,4.9729926
2016-09-01,0.0,0.0,5.6981936,4.7720575
2016-10-01,0.0,0.0,5.5114108,4.7592761
2016-11-01,0.0,0.0,5.700743,4.680259
2016-12-01,0.0,0.0,5.872368,5.0341826
2017-01-01,0.0,0.0,6.3471061,5.5002542
2017-02-01,0.0,0.0,6.3529111,5.6360637
2017-03-01,0.0,0.0,6.5721297,5.3356324
2017-04-01,0.0,0.0,6.2488381,4.61081
2017-05-01,0.0,0.0,5.8650873,4.6680956
2017-06-01,0.0,0.0,5.6376704,4.7040858
2017-07-01,0.0,0.0,5.9752679,4.8969009
2017-08-01,0.0,0.0,6.1524243,4.9261745
2017-09-01,0.0,0.0,5.8966631,4.5388833
2017-10-01,0.0,0.0,5.4343744,4.4836477
2017-11-01,0.0,0.0,5.1628276,4.4686133
2017-12-01,0.0,0.0,5.9659168,4.7353262
2018-01-01,0.0,0.0,6.1190023,5.5959945
2018-02-01,0.0,0.0,6.0176264,5.2448741
2018-03-01,0.0,0.0,5.5502487,5.2964431
2018-04-01,0.0,0.0,5.3307039,4.9138863
2018-05-01,0.0,0.0,4.928583,4.8360724
2018-06-01,0.0,0.0,5.2944065,4.5707516
2018-07-01,0.0,0.0,4.855428,4.8301299
2018-08-01,0.0,0.0,4.7979467,4.6841193
2018-09-01,0.0,0.0,4.4806317,4.2886989
2018-10-01,0.0,0.0,4.2469388,4.349952
2018-11-01,0.0,0.0,4.3360139,4.1160003
2018-12-01,0.0,0.0,4.0725501,4.2751483
2019-01-01,0.0,0.0,5.0314419,4.2919091
2019-02-01,0.0,0.0,5.1261183,4.6730196
2019-03-01,0.0,0.0,4.8818462,4.6335232
2019-04-01,0.0,0.0,4.9748789,4.5340938
2019-05-01,0.0,0.0,4.4592137,4.5487018
2019-06-01,0.0,0.0,4.5848621,4.5582359
2019-07-01,0.0,0.0,4.7535061,4.4543758
2019-08-01,0.0,0.0,4.936762,4.3536104
2019-09-01,0.0,0.0,4.6377503,4.4059772
2019-10-01,0.0,0.0,4.5133102,4.6899874
2019-11-01,0.0,0.0,4.2908734,4.3613098
2019-12-01,0.0,0.0,4.7560412,4.3918269
2020-01-01,0.0,0.0,5.8213934,4.8199882
2020-02-01,8.33,19.44,5.7137765,4.982252
2020-03-01,19.44,13.89,5.4208862,5.1209546
2020-04-01,90.74,85.19,6.0903101,6.2643871
2020-05-01,90.74,85.19,6.5943476,6.2775734
2020-06-01,65.74,49.07,7.0922355,6.6319396
2020-07-01,74.07,49.07,6.6903177,7.0736072
2020-08-01,83.33,69.44,7.087548,6.4487526
2020-09-01,90.74,50.93,6.5500766,6.7895698
2020-10-01,87.04,51.85,6.8340075,6.3366722
2020-11-01,72.22,51.85,6.6879498,6.0014448
2020-12-01,54.63,52.78,6.3032923,6.15731
2021-01-01,51.85,66.2,6.8833739,6.4244228
2021-02-01,60.19,54.63,6.139979,6.0455581
2021-03-01,60.19,49.07,6.3605817,5.769706
2021-04-01,60.19,54.17,5.5554138,5.4370323
2021-05-01,47.22,46.3,4.6612955,5.0274875
2021-06-01,90.74,52.78,4.3135735,5.053691
2021-07-01,60.19,66.2,4.4109096,4.5405931
2021-08-01,75.93,82.41,4.0419589,4.7099291
2021-09-01,91.67,90.74,4.63596,4.5289064
2021-10-01,78.24,82.41,5.2677426,5.3299829
2021-11-01,45.69,55.53,4.4016867,4.3802374
2021-12-01,40.8,56.74,4.1848639,3.9345501
2022-01-01,34.62,47.02,4.5068396,4.5388455
2022-02-01,34.43,28.18,4.5066702,4.0204186
2022-03-01,21.08,21.77,4.3179222,4.1345327
2022-04-01,39.41,27.45,4.3565032,3.5301773
2022-05-01,21.81,22.17,3.7098144,4.0142695
2022-06-01,21.79,22.14,3.1333806,3.340388
2022-07-01,27.01,24.07,3.0992544,3.3160594
2022-08-01,27.01,18.52,3.7772804,3.4507992
2022-09-01,27.01,18.52,3.4196621,3.3060642
2022-10-01,24.07,18.52,3.4870431,3.0067935
2022-11-01,24.07,18.52,3.4370849,3.0856096
2022-12-01,24.07,18.52,3.4499238,3.0662537
2023-01-01,0.0,0.0,4.4780994,3.4390122
2023-02-01,0.0,0.0,4.0656034,3.434574
2023-03-01,0.0,0.0,3.9188995,3.5044043
2023-04-01,0.0,0.0,4.0450609,3.4213545
2023-05-01,0.0,0.0,3.665424,3.0523784
2023-06-01,0.0,0.0,3.5039597,2.9018424
2023-07-01,0.0,0.0,3.4773673,3.2548144
2023-08-01,0.0,0.0,3.504203,3.6092013
2023-09-01,0.0,0.0,3.4342524,3.308731
2023-10-01,0.0,0.0,3.6166455,3.3806583
2023-11-01,0.0,0.0,3.7860402,3.2841261
2023-12-01,0.0,0.0,4.0161889,3.3469674
2024-01-01,0.0,0.0,4.3688295,4.4597806
2024-02-01,0.0,0.0,4.1760112,3.882713
2024-03-01,0.0,0.0,4.3378196,4.0230602
2024-04-01,0.0,0.0,4.4780882,3.9819708
2024-05-01,0.0,0.0,4.3450297,3.7176082
2024-06-01,0.0,0.0,4.2712524,3.8446134
2024-07-01,0.0,0.0,4.313922,3.9038792
2024-08-01,0.0,0.0,4.3710714,4.0794536
2024-09-01,0.0,0.0,4.2898757,3.7183889
2024-10-01,0.0,0.0,4.2626865,3.9065149
2024-11-01,0.0,0.0,3.9266992,3.69059
2024-12-01,0.0,0.0,4.3931032,3.5828046
2025-01-01,0.0,0.0,5.1851125,4.3571771
2025-02-01,0.0,0.0,4.9833118,4.3119074
2025-03-01,0.0,0.0,4.5758081,4.4177547
2025-04-01,0.0,0.0,4.394461,3.8522731
2025-05-01,0.0,0.0,4.3125529,4.0770662
2025-06-01,0.0,0.0,4.3069634,4.3315324
2025-07-01,0.0,0.0,4.3761884,3.9315713
2025-08-01,0.0,0.0,4.2360307,4.259923
2025-09-01,0.0,0.0,4.6762303,4.1669031
2025-10-01,0.0,0.0,4.4208992,4.1497248
2025-11-01,0.0,0.0,4.5059508,3.59389
2025-12-01,0.0,0.0,4.4985906,3.6882553
2026-01-01,0.0,0.0,4.6702201,4.4746144
2026-02-01,0.0,0.0,5.0434195,4.3395842
