Date,RegionCode,Jurisdiction,StringencyIndex_Average
2020-01-01,AUS_NSW,STATE_TOTAL,0.0
2020-02-01,AUS_NSW,STATE_TOTAL,19.44
2020-03-01,AUS_NSW,STATE_TOTAL,13.89
2020-04-01,AUS_NSW,STATE_TOTAL,85.19
2020-05-01,AUS_NSW,STATE_TOTAL,85.19
2020-06-01,AUS_NSW,STATE_TOTAL,49.07
2020-07-01,AUS_NSW,STATE_TOTAL,49.07
2020-08-01,AUS_NSW,STATE_TOTAL,69.44
2020-09-01,AUS_NSW,STATE_TOTAL,50.93
2020-10-01,AUS_NSW,STATE_TOTAL,51.85
2020-11-01,AUS_NSW,STATE_TOTAL,51.85
2020-12-01,AUS_NSW,STATE_TOTAL,52.78
2021-01-01,AUS_NSW,STATE_TOTAL,66.2
2021-02-01,AUS_NSW,STATE_TOTAL,54.63
2021-03-01,AUS_NSW,STATE_TOTAL,49.07
2021-04-01,AUS_NSW,STATE_TOTAL,54.17
2021-05-01,AUS_NSW,STATE_TOTAL,46.3
2021-06-01,AUS_NSW,STATE_TOTAL,52.78
2021-07-01,AUS_NSW,STATE_TOTAL,66.2
2021-08-01,AUS_NSW,STATE_TOTAL,82.41
2021-09-01,AUS_NSW,STATE_TOTAL,90.74
2021-10-01,AUS_NSW,STATE_TOTAL,82.41
2021-11-01,AUS_NSW,STATE_TOTAL,55.53
2021-12-01,AUS_NSW,STATE_TOTAL,56.74
2022-01-01,AUS_NSW,STATE_TOTAL,47.02
2022-02-01,AUS_NSW,STATE_TOTAL,28.18
2022-03-01,AUS_NSW,STATE_TOTAL,21.77
2022-04-01,AUS_NSW,STATE_TOTAL,27.45
2022-05-01,AUS_NSW,STATE_TOTAL,22.17
2022-06-01,AUS_NSW,STATE_TOTAL,22.14
2022-07-01,AUS_NSW,STATE_TOTAL,24.07
2022-08-01,AUS_NSW,STATE_TOTAL,18.52
2022-09-01,AUS_NSW,STATE_TOTAL,18.52
2022-10-01,AUS_NSW,STATE_TOTAL,18.52
2022-11-01,AUS_NSW,STATE_TOTAL,18.52
2022-12-01,AUS_NSW,STATE_TOTAL,18.52
2020-01-01,AUS_VIC,STATE_TOTAL,0.0
2020-02-01,AUS_VIC,STATE_TOTAL,8.33
2020-03-01,AUS_VIC,STATE_TOTAL,19.44
2020-04-01,AUS_VIC,STATE_TOTAL,90.74
2020-05-01,AUS_VIC,STATE_TOTAL,90.74
2020-06-01,AUS_VIC,STATE_TOTAL,65.74
2020-07-01,AUS_VIC,STATE_TOTAL,74.07
2020-08-01,AUS_VIC,STATE_TOTAL,83.33
2020-09-01,AUS_VIC,STATE_TOTAL,90.74
2020-10-01,AUS_VIC,STATE_TOTAL,87.04
2020-11-01,AUS_VIC,STATE_TOTAL,72.22
2020-12-01,AUS_VIC,STATE_TOTAL,54.63
2021-01-01,AUS_VIC,STATE_TOTAL,51.85
2021-02-01,AUS_VIC,STATE_TOTAL,60.19
2021-03-01,AUS_VIC,STATE_TOTAL,60.19
2021-04-01,AUS_VIC,STATE_TOTAL,60.19
2021-05-01,AUS_VIC,STATE_TOTAL,47.22
2021-06-01,AUS_VIC,STATE_TOTAL,90.74
2021-07-01,AUS_VIC,STATE_TOTAL,60.19
2021-08-01,AUS_VIC,STATE_TOTAL,75.93
2021-09-01,AUS_VIC,STATE_TOTAL,91.67
2021-10-01,AUS_VIC,STATE_TOTAL,78.24
2021-11-01,AUS_VIC,STATE_TOTAL,45.69
2021-12-01,AUS_VIC,STATE_TOTAL,40.8
2022-01-01,AUS_VIC,STATE_TOTAL,34.62
2022-02-01,AUS_VIC,STATE_TOTAL,34.43
2022-03-01,AUS_VIC,STATE_TOTAL,21.08
2022-04-01,AUS_VIC,STATE_TOTAL,39.41
2022-05-01,AUS_VIC,STATE_TOTAL,21.81
2022-06-01,AUS_VIC,STATE_TOTAL,21.79
2022-07-01,AUS_VIC,STATE_TOTAL,27.01
2022-08-01,AUS_VIC,STATE_TOTAL,27.01
2022-09-01,AUS_VIC,STATE_TOTAL,27.01
2022-10-01,AUS_VIC,STATE_TOTAL,24.07
2022-11-01,AUS_VIC,STATE_TOTAL,24.07
2022-12-01,AUS_VIC,STATE_TOTAL,24.07
