Date,StringencyIndex_Average_NSW,StringencyIndex_Average_VIC
2020-01-01,0.0,0.0
2020-02-01,19.44,8.33
2020-03-01,13.89,19.44
2020-04-01,85.19,90.74
2020-05-01,85.19,90.74
2020-06-01,49.07,65.74
2020-07-01,49.07,74.07
2020-08-01,69.44,83.33
2020-09-01,50.93,90.74
2020-10-01,51.85,87.04
2020-11-01,51.85,72.22
2020-12-01,52.78,54.63
2021-01-01,66.2,51.85
2021-02-01,54.63,60.19
2021-03-01,49.07,60.19
2021-04-01,54.17,60.19
2021-05-01,46.3,47.22
2021-06-01,52.78,90.74
2021-07-01,66.2,60.19
2021-08-01,82.41,75.93
2021-09-01,90.74,91.67
2021-10-01,82.41,78.24
2021-11-01,55.53,45.69
2021-12-01,56.74,40.8
2022-01-01,47.02,34.62
2022-02-01,28.18,34.43
2022-03-01,21.77,21.08
2022-04-01,27.45,39.41
2022-05-01,22.17,21.81
2022-06-01,22.14,21.79
2022-07-01,24.07,27.01
2022-08-01,18.52,27.01
2022-09-01,18.52,27.01
2022-10-01,18.52,24.07
2022-11-01,18.52,24.07
2022-12-01,18.52,24.07
