"Chart 4: Index of hours worked, Seasonally adjusted (March 2020 = 100)"
,"NSW","Vic","Qld","SA","WA","Tas","NT","ACT"
"Jan-2020","100.1","97.5","100.8","99.4","100.4","97.6","99.9","98.8"
"Feb-2020","100.0","97.1","100.5","99.1","99.9","97.1","98.5","99.6"
"Mar-2020","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Apr-2020","90.8","89.3","91.7","89.9","89.3","88.5","92.2","100.4"
"May-2020","89.7","87.5","90.4","90.2","91.2","86.2","92.7","97.4"
"Jun-2020","94.8","91.6","93.8","92.6","92.7","92.3","92.1","92.3"
"Jul-2020","96.1","92.1","93.5","95.3","95.4","95.1","91.1","102.8"
"Aug-2020","96.7","87.6","96.9","97.0","98.9","99.2","96.4","102.2"
"Sep-2020","98.3","85.7","98.2","97.9","98.3","96.5","92.5","102.5"
"Oct-2020","96.6","90.5","100.3","97.6","97.8","97.4","94.9","103.6"
"Nov-2020","98.7","95.1","100.5","98.8","101.1","99.1","93.7","102.1"
"Dec-2020","98.7","95.0","100.9","99.8","100.1","100.4","96.2","103.1"
"Jan-2021","91.0","92.2","96.3","95.3","98.3","95.5","92.3","96.1"
"Feb-2021","100.1","95.8","104.2","99.8","93.9","101.6","94.6","101.5"
"Mar-2021","100.4","98.8","105.4","100.9","102.5","102.8","95.7","101.1"

"Source: Labour Force, Australia Tables 12, 12a, 19 and 19a"

"Source: Australian Bureau of Statistics, Insights into hours worked, March 2021 15/04/2021"
