Date,NSW_UnemploymentRate,VIC_UnemploymentRate
Feb-2016,5.6,6.2
Mar-2016,5.4,6.0
Apr-2016,5.1,5.7
May-2016,5.0,5.7
Jun-2016,5.0,5.4
Jul-2016,5.0,5.7
Aug-2016,5.0,5.6
Sep-2016,4.8,5.7
Oct-2016,4.8,5.5
Nov-2016,4.7,5.7
Dec-2016,5.0,5.9
Jan-2017,5.5,6.3
Feb-2017,5.6,6.4
Mar-2017,5.3,6.6
Apr-2017,4.6,6.2
May-2017,4.7,5.9
Jun-2017,4.7,5.6
Jul-2017,4.9,6.0
Aug-2017,4.9,6.2
Sep-2017,4.5,5.9
Oct-2017,4.5,5.4
Nov-2017,4.5,5.2
Dec-2017,4.7,6.0
Jan-2018,5.6,6.1
Feb-2018,5.2,6.0
Mar-2018,5.3,5.6
Apr-2018,4.9,5.3
May-2018,4.8,4.9
Jun-2018,4.6,5.3
Jul-2018,4.8,4.9
Aug-2018,4.7,4.8
Sep-2018,4.3,4.5
Oct-2018,4.3,4.2
Nov-2018,4.1,4.3
Dec-2018,4.3,4.1
Jan-2019,4.3,5.0
Feb-2019,4.7,5.1
Mar-2019,4.6,4.9
Apr-2019,4.5,5.0
May-2019,4.5,4.5
Jun-2019,4.6,4.6
Jul-2019,4.5,4.8
Aug-2019,4.4,4.9
Sep-2019,4.4,4.6
Oct-2019,4.7,4.5
Nov-2019,4.4,4.3
Dec-2019,4.4,4.8
Jan-2020,4.8,5.8
Feb-2020,5.0,5.7
Mar-2020,5.1,5.4
Apr-2020,6.3,6.1
May-2020,6.3,6.6
Jun-2020,6.6,7.1
Jul-2020,7.1,6.7
Aug-2020,6.4,7.1
Sep-2020,6.8,6.6
Oct-2020,6.3,6.8
Nov-2020,6.0,6.7
Dec-2020,6.2,6.3
Jan-2021,6.4,6.9
Feb-2021,6.0,6.1
Mar-2021,5.8,6.4
Apr-2021,5.4,5.6
May-2021,5.0,4.7
Jun-2021,5.1,4.3
Jul-2021,4.5,4.4
Aug-2021,4.7,4.0
Sep-2021,4.5,4.6
Oct-2021,5.3,5.3
Nov-2021,4.4,4.4
Dec-2021,3.9,4.2
Jan-2022,4.5,4.5
Feb-2022,4.0,4.5
Mar-2022,4.1,4.3
Apr-2022,3.5,4.4
May-2022,4.0,3.7
Jun-2022,3.3,3.1
Jul-2022,3.3,3.1
Aug-2022,3.5,3.8
Sep-2022,3.3,3.4
Oct-2022,3.0,3.5
Nov-2022,3.1,3.4
Dec-2022,3.1,3.4
Jan-2023,3.4,4.5
Feb-2023,3.4,4.1
Mar-2023,3.5,3.9
Apr-2023,3.4,4.0
May-2023,3.1,3.7
Jun-2023,2.9,3.5
Jul-2023,3.3,3.5
Aug-2023,3.6,3.5
Sep-2023,3.3,3.4
Oct-2023,3.4,3.6
Nov-2023,3.3,3.8
Dec-2023,3.3,4.0
Jan-2024,4.5,4.4
Feb-2024,3.9,4.2
Mar-2024,4.0,4.3
Apr-2024,4.0,4.5
May-2024,3.7,4.3
Jun-2024,3.8,4.3
Jul-2024,3.9,4.3
Aug-2024,4.1,4.4
Sep-2024,3.7,4.3
Oct-2024,3.9,4.3
Nov-2024,3.7,3.9
Dec-2024,3.6,4.4
Jan-2025,4.4,5.2
Feb-2025,4.3,5.0
Mar-2025,4.4,4.6
Apr-2025,3.9,4.4
May-2025,4.1,4.3
Jun-2025,4.3,4.3
Jul-2025,3.9,4.4
Aug-2025,4.3,4.2
Sep-2025,4.2,4.7
Oct-2025,4.1,4.4
Nov-2025,3.6,4.5
Dec-2025,3.7,4.5
Jan-2026,4.5,4.7
Feb-2026,4.3,5.0
